"item","te","frequency_zipf"
"spa_aprender",7,4.81355532938636
"spa_esperar",54,5.2394438669429
"spa_ir1",60,5.991408
"spa_perder",82,5.143885160241
"spa_encima",141,7.19251183353572
"spa_gato",173,4.7323164212987
"spa_danado",299,3.84628952082168
"spa_roto",324,4.53684968734509
"spa_seco",325,4.17886631311045
"spa_pure",406,3.67975974578296
"spa_te",411,4.77919397473066
"spa_cajonera",469,2.1590579197569
"spa_crema",483,4.39835739888379
"spa_medicina",516,4.63569635677047
"spa_portatil",533,3.84777428972737
"spa_papa",672,5.87744887571131
"spa_tu2",706,6.406945
"spa_cuando",735,5.43371599751382
"spa_payaso",768,4.30259314485686
"spa_camion",783,4.79887631158799
